No,Name,Formula,Atoms,Description,FunFact,FormationReason
80,"หินปูนปูนขาวสูตรไฮโดร","CaCO₃·H","Ca:1|C:1|O:3|H:1","หินปูนธรรมชาติที่มีไฮโดรเจนสอดแทรกโครงสร้างเตรียมแปรสภาพเป็นแร่ชอล์กเขียนสัญญะ","เนื้อหินปูนจะนุ่มนิ่มขึ้นเขียนลากสลักวงแหวนเวทมนตร์บนกระดานดำได้ลื่นมือเส้นไม่ขาด","ไฮโดรเจนบวกเข้าจับคาร์บอเนตลบเกิดสลับชั้นพันธะลดความเปราะแกร่งกลายเป็นแร่ชอล์กนุ่ม"
81,"เกลือเหล็กสองสูตรไฮโดร","FeCl₂·H","Fe:1|Cl:2|H:1","เกลือคลอไรด์เหล็กสองที่มีไฮโดมัดใจไฮโดรเจนช่วยปรับระดับขั้วสีสันสีเขียวให้เรืองรอง","คราบละอองเขียวเรืองรองลอยบนน้ำต้มยาสร้างทัศนวิสัยสวยงามเหมาะสำหรับงานแต่งภาพสี","ไฮโดรเจนส่งผลให้เกิดการกระจัดประจุใน d-orbital ของ Fe2+ สะท้อนสีเขียวเจิดจ้าสดใสน่าทึ่ง"
82,"ผงฟูสูตรเพิ่มพลังฟูไฮโดร","NaHCO₃·H","Na:1|H:2|C:1|O:3","เบกกิ้งโซดาผงฟูที่มีไฮโดรเจนสองแขนเพื่อเร่งการคายแก๊สพองตัวฟูเต็มที่เตาอบ","ช่วยดันเนื้อขนมปังอบหนานุ่มให้พองโตฟูขึ้นรูปทรงปุยเมฆน่ากินรสชาติละมุนลิ้นดีเด่น","ไฮโดรเจนที่เพิ่มเข้ามาเปลี่ยนประจุผงฟูให้แตกตัวคายแก๊ส CO2 ปริมาณมากเร่งดันอากาศขึ้น"
83,"โซดาแอชปรับค่าน้ำสูตรไฮโดร","Na₂CO₃·H","Na:2|C:1|O:3|H:1","ผลึกเกลือโซเดียมคาร์บอเนตที่มีไฮโดรเจนเพิ่มขั้วละลายจับคราบมันในสระน้ำเด่นชัด","ขจัดสิ่งสกปรกสะสมตามซอกแผ่นกระเบื้องสระน้ำให้ขาวสะอาดเงางามตาสะดวกปลอดภัย","ไฮโดรเจนเพิ่มประสิทธิภาพการดึงไอออนบวกของคราบมันโลหะหนักตกตะกอนจมลงลึกก้นหม้อ"
84,"เกลือเหล็กสามสูตรไฮโดร","FeCl₃·H","Fe:1|Cl:3|H:1","เกลือเหล็กสามกัดแผ่นทองแดงเติมประจุไฮโดรเจนช่วยเร่งดึงประจุขยายลายทองแดง","ช่วยหน่วงความไวในการกัดกรดทำให้ขอบลายวงจรอิเล็กทรอนิกส์ในเครื่องแปรธาตุคมกริบ","ประจุบวกของไฮโดรเจนเหนี่ยวนำขั้วทำให้เหล็กสามไอออนดึงอิเล็กตรอนของทองแดงได้เร็วยิ่งขึ้น"
85,"แก๊สซัลเฟอร์ไตรออกไซด์สูตรไฮโดร","SO₃·H","S:1|O:3|H:1","แก๊สกำมะถันไตรออกไซด์ผสมไฮโดรเจนจำลองสภาวะแวดล้อมเกิดไอกรดพร้อมทำปฏิกิริยา","เป็นโมเลกุลสะสมพลังงานสูงที่พร้อมระเบิดฟู่ฟ่าพ่นหมอกกรดเมื่อหยดโดนของเหลว","อะตอมกำมะถันจับออกซิเจนร่วมกับไฮโดรเจนเกิดโครงสร้างกรดบางเบาที่คอยทำลายความแกร่งเนื้อแร่"
86,"แก๊สชีวภาพมีเทนสูตรไฮโดร","CH₄·H","C:1|H:5","แก๊สมีเทนผสมไฮโดรเจนอิสระ 1 ตัว เพิ่มประสิทธิภาพการปะทุประกายไฟเตาต้มแปรธาตุ","เปลวไฟจุดต้มยาจะพุ่งสว่างสีฟ้าใสคายความร้อนสูงจัด ปรุงสารเดือดพล่านในพริบตา","ไฮโดรเจนที่ปนเข้ามาเร่งความเร็วในการรวมตัวและแตกไอระเหยเมื่อทำปฏิกิริยากับก๊าซออกซิเจน"
87,"เอทานอลล้างแผลสูตรไฮโดร","C₂H₆O·H","C:2|H:7|O:1","เอทิลแอลกอฮอล์เติมไฮโดรเจนอิสระ เร่งกระบวนการทำลายเยื่อหุ้มเซลล์ของเชื้อแบคทีเรีย","ช่วยล้างทำความสะอาดเครื่องมือแปรแร่ให้แห้งกิ๊กอย่างฉับไว หมดคราบสนิมคราบเขม่าจับแน่น","ไฮโดรเจนเพิ่มขั้วไฟฟ้าบวกให้กับหมู่ไฮดรอกซีส่งผลให้ซึมสลายกำจัดเยื่อเซลล์เชื้อโรคได้แกร่งขึ้น"
88,"คาร์บอนมอนอกไซด์สูตรไฮโดร","CO·H","C:1|O:1|H:1","แก๊สเขม่าท่อไอเสียกระตุ้นประจุไฮโดรเจนเพิ่มพลังขับเคลื่อนเครื่องยนต์ไอน้ำเวทมนตร์","นิยมใช้ขับดันลูกสูบเพื่อหมุนก้านผสมสารพัดโบกในถังต้มยาขนาดใหญ่คงที่สม่ำเสมอ","ไฮโดรเจนสอดแทรกทำพันธะเดี่ยวกับออกซิเจนทำให้โมเลกุลคาร์บอนพร้อมปลดปล่อยความร้อน"
89,"แก๊สเอทิลีนบ่มผลไม้สูตรไฮโดร","C₂H₄·H","C:2|H:5","ฮอร์โมนแก๊สธรรมชาติเติมไฮโดรเจนประจุบวก บ่มเร่งเนื้อผลไม้ป่าดิบสุกหวานอย่างทวีคูณ","ช่วยร่นระยะเวลาบ่มมะม่วงดิบและกล้วยป่าจากสามคืนเหลือคืนเดียว เนื้อหวานสุกสวยดกดี","ไฮโดรเจนอิสระเข้าทำลายมุมสลับของพันธะคู่เอทิลีนทำให้โมเลกุลเคลื่อนไหวไปกระตุ้นเซลล์พืชไว"
90,"แก๊สไข่เน่าสูตรไฮโดร","H₂S·H","S:1|H:3","แก๊สไฮโดรเจนซัลไฟด์ที่มีไฮโดรเจนกระตุ้นประจุให้ว่องไวในการส่งกลิ่นเหม็นไข่เน่าคละคลุ้ง","กลิ่นฉุนรุนแรงปะทุปุดฟองง่ายมาก ใช้ดมช่วยเรียกสติคนไข้เป็นลมช็อกให้ฟื้นคืนตัวฉับพลัน","ไฮโดรเจนที่เพิ่มเข้ามาสลัดพันธะความหนืดทำให้กลุ่มซัลไฟต์ระเหยกลายเป็นไอฉุนพวยพุ่งพุ่งสูง"
91,"แก๊สโพรเพนสูตรไฮโดร","C₃H₈·H","C:3|H:9","แก๊สโพรเพนเชื้อเพลิงถังที่มีไฮโดรเจนนำทางประจุเพิ่มอัตราความแรงปืนพ่นไฟเตาต้มยา","ช่วยให้สปาร์คจุดเตาหลอมติดง่ายคุมระดับความร้อนไฟคงที่คงวาปรุงยารสชาติกลมกล่อม","ไฮโดรเจนประจุบวกช่วยล้างคราบนิลถ่านและเหนี่ยวนำเปลวไฟให้อิ่มตัวสลายเขม่าควันสีดำเกลี้ยง"
92,"กรดน้ำส้มสายชูสูตรไฮโดร","C₂H₄O₂·H","C:2|H:5|O:2","กรดน้ำส้มเปรี้ยวจัดสอดแทรกไฮโดรเจน แตกตัวคายความเปรี้ยวกรดขจัดคราบหยาบตะกรัน","เช็ดล้างคราบปูนขาวจับแน่นขอบปากถังต้มยาให้ลื่นสะอาดวิบวับเหมือนใหม่ไม่ด่างผุย","ไฮโดรเจนบวกสอยเหนี่ยวรั้งหมู่คาร์บอกซิลละลายน้ำให้ฤทธิ์กรดเข้มทำลายคราบหินปูนสลายเร็ว"
93,"แก๊สหัวเราะสูตรไฮโดร","N₂O·H","N:2|O:1|H:1","แก๊สไนตรัสออกไซด์ผสมไฮโดรเจนอิสระเร่งสลายความเจ็บปวดสะกดประสาทอย่างทันท่วงที","ใช้ดมคนไข้ประสบอุบัติเหตุรุนแรงฉับพลันเพื่อให้จิตใจสงบผ่อนคลายและเข้าทำแผลล้างสะอาด","ไฮโดรเจนเพิ่มความเร็วในการแพร่ของแก๊สผ่านเนื้อเยื่อถุงลมปอดส่งตรงเข้าสู่สมองควบคุมสลบ"
94,"แก๊สซัลเฟอร์ไดออกไซด์สูตรไฮโดร","SO₂·H","S:1|O:2|H:1","แก๊สกำมะถันที่มีไฮโดรเจนอิสระเพิ่มขั้วประจุขีดความสามารถรักษาสีสันองุ่นป่าทำไวน์","องุ่นจะรักษารสชาติสดฉ่ำไม่เน่าบูดราเกาะค้างคืน รักษาเนื้อไวน์ให้สว่างใสกิ๊กหอมหวานดี","ไฮโดรเจนบวกเร่งอัตราเกิดเกลือซัลไฟต์เคลือบผิวผลไม้ป้องกันการเติบโตของราพืชป่าได้ลึก"
95,"แก๊สไนโตรเจนไดออกไซด์สูตรไฮโดร","NO₂·H","N:1|O:2|H:1","แก๊สควันมลพิษสีน้ำตาลแดงเหนี่ยวนำประจุไฮโดรเจนเตรียมจับกลุ่มความชื้นในป่าแปรธาตุ","จำลองสัญญะของกลุ่มหมอกควันพิษสะสมระคายเคืองคอระคายตาขณะเดินทางป่าทัศนวิสัยต่ำ","ไฮโดรเจนอิสระขยับจับขั้วประจุคี่ของไนโตรเจนพุ่งตัวจับความชื้นแปรสภาพเป็นกรดสลายใบพืช"
96,"เกลือแกงลวงตาน้ำ 3","NaCl·3H₂O","Na:1|Cl:1|H:6|O:3","ผลึกเกลือโซเดียมคลอไรด์ความชื้นน้ำ 3 โมเลกุล ถนอมแร่ธาตุตัวยาสมุนไพรแห้งยาวนาน","รักษาสภาพน้ำมันธรรมชาติและสารสกัดสมุนไพรไม่ให้ระเหยเหี่ยวแห้งเมื่อเก็บรักษาในขวดไห","น้ำ 3 โมเลกุลเข้าทำพันธะล้อมประจุบวกลบของเกลือแกงช่วยตรึงสภาพผลึกคงรูปไม่แตกร่วนผุย"
97,"ปูนขาวปรับดินสูตรน้ำ 3","CaO·3H₂O","Ca:1|O:4|H:6","ปูนขาวธรรมชาติชุ่มชื้นอุ้มน้ำ 3 อัตราส่วน ปล่อยความร้อนแฝงบางเบาและมีความเป็นด่างคงที่","ยอดนิยมสำหรับใช้ปรับดินเพาะสปอร์เห็ดป่าสีฟ้านวลให้เติบโตผลิดอกสว่างไสวเต็มพิกัด","น้ำ 3 ตัวกางเกราะขัดขวางการเข้าปะทะออกซิเจนช่วยให้การละลายปรับสภาพเบสอ่อนโยนต่อพืช"
98,"แคลเซียมคลอไรด์ดูดชื้นน้ำ 3","CaCl₂·3H₂O","Ca:1|Cl:2|H:6|O:3","เกลือดูดชื้นแคลเซียมคลอไรด์อุ้มน้ำ 3 ตัว รักษาความเสถียรของแผ่นแร่ในกล่องควบคุมชื้น","ล็อกความชื้นส่วนเกินสะสมในตู้เก็บตำรายาโบราณไม่ให้แผ่นกระดาษขึ้นราดำเน่าผุกร่อน","แคลเซียมและคลอรีนล้อมด้วยน้ำ 3 โมเลกุลเกิดโครงสร้างกึ่งอิ่มตัวแต่ยังอุ้มความชื้นใหม่ได้ต่อเนื่อง"
99,"สนิมเหล็กน้ำยาชื้น 3","Fe₂O₃·3H₂O","Fe:2|O:6|H:6","คราบสนิมเหล็กผุกร่อนไดไฮเดรตที่มีน้ำยึดหน่วง 3 ตัว จำลองผิวสากบางเบาหนาสีส้มเข้ม","ปรากฏบ่อยบนแผ่นดาบเหล็กกล้าโบราณที่ปักแช่ในดินเลนแฉะลึกใต้หนองน้ำเวทมนตร์","เหล็กสามบวกร่วมพันธะกับออกไซด์และโมเลกุลน้ำ 3 โมเลกุลทำลายแรงยึดโลหะแข็งให้ผุสลายร่าง"
100,"หินปูนปูนกินหมากน้ำ 3","CaCO₃·3H₂O","Ca:1|C:1|O:6|H:6","ผลึกแร่หินปูนธรรมชาติอุ้มชื้นน้ำ 3 สัดส่วน แหล่งผลิตแป้งพอกเนื้อพลองไม้ลดแรงกระแทก","ช่วยพยุงผิวไม้พลองเวทมนตร์ไม่ให้เกิดรอยแตกร้าวเสียหายเมื่อควงสลับท่าปรุงยาเร็วแรง","โมเลกุลน้ำ 3 ตัวแทรกเกาะในโครงผลึกตาข่ายคาร์บอนเนตเพิ่มความยืดหยุ่นยึดเหนี่ยวทนทานยิ่งขึ้น"
101,"สารกลุ่มแอลกอฮอล์: โพรพานอล","C₃H₈O","C:3|H:8|O:1","โพรพิลแอลกอฮอล์ใสที่ใช้ในอุตสาหกรรมน้ำยาทำความสะอาดแผ่นเลนส์แว่นเวทมนตร์","แอลกอฮอล์นี้ละลายและเช็ดคราบไขมันและคราบนิ้วมือบนกระจกออกได้หมดจดเกลี้ยงใสกิ๊ก","แกนคาร์บอน 3 ตัวสร้างพันธะเดี่ยวโคเวเลนต์พ่วงหมู่ไฮดรอกซี (-OH) ละลายน้ำและน้ำมันได้ดี"
102,"สารกลุ่มแอลกอฮอล์: บิวทานอล","C₄H₁₀O","C:4|H:10|O:1","แอลกอฮอล์ที่มีสายโซ่ 4 คาร์บอน ใช้เป็นส่วนผสมหลักในการปรุงแต่งกลิ่นผลไม้แอปเปิ้ลเขียว","ให้กลิ่นหอมสะอาดสดชื่นฉบับธรรมชาตินิยมนำมาหยดเคลือบสมุนไพรแห้งรมควันสว่างวาบ","แกนคาร์บอน 4 ตัวต่อกันพันธะเดี่ยวอิ่มตัวจับคู่แชร์กับไฮโดรเจน 10 และออกซิเจน 1 ตัวคงรูป"
103,"สารกลุ่มแอลกอฮอล์: เพนทานอล","C₅H₁₂O","C:5|H:12|O:1","แอลกอฮอล์ขนาดใหญ่ 5 คาร์บอน ใช้เป็นน้ำยาปรับความยืดหยุ่นในอุตสาหกรรมทำหนังสัตว์เทียม","ช่วยให้เนื้วนน้ำสัตว์แปรธาตุนุ่มเด้งดึ๋งเหนียวทนทานไม่เปราะหักพังทลายง่ายเมื่อโดนแดด","คาร์บอน 5 ตัวพ่วงเดี่ยวจับไฮโดรเจน 12 ตัวและออกซิเจน 1 ตัวจุดเดือดสูงลอยระเหยช้ามาก"
104,"สารกลุ่มแอลกอฮอล์: เฮกซานอล","C₆H₁₄O","C:6|H:14|O:1","แอลกอฮอล์สายโซ่ยาว 6 คาร์บอน ใช้สังเคราะห์หัวน้ำหอมกลิ่นหญ้าเขียวตัดใหม่กลางทุ่ง","ให้ความรู้สึกสะอาดหอมละมุนฟุ้งโชยกระตุ้นพลังชีวิตสดใสให้พ่อมดปรุงยาสดชื่น","คาร์บอน 6 ตัวเรียงยาวเหนียวแน่นจับไฮโดรเจน 14 ตัวและออกซิเจน 1 ตัวละลายน้ำยากขึ้นน้ำหนักมาก"
105,"กรดอินทรีย์คาร์บอกซิล: กรดฟอร์มิก","CH₂O₂","C:1|H:2|O:2","กรดมดคันไฟเปรี้ยวแสบระคายผิวหนัง ใช้ป้องกันศัตรูพืชและรักษาสภาพน้ำยางพาราแปรธาตุ","เวลาโดนมดแดงกัดแล้วแสบร้อนคันคะยิก เป็นเพราะมดฉีดกรดฟอร์มิกจิ๋วนี้เข้าใต้ผิวเราน้า","คาร์บอนอะตอมกลางเชื่อมพันธะคู่กับออกซิเจน 1 และเดี่ยวกับออกซิเจน-ไฮโดรเจน (-COOH) แตกตัวดี"
106,"กรดอินทรีย์คาร์บอกซิล: กรดโพรพิโอนิก","C₃H₆O₂","C:3|H:6|O:2","กรดอินทรีย์ที่ชาวขนมปังใช้ทาเคลือบแม่พิมพ์ขนมเพื่อยับยั้งการเจริญเติบโตของราดำ","ช่วยยืดอายุอาหารกล่องแปรธาตุให้คงสภาพสดใหม่ส่งกลิ่นหอมนานวันไม่มีเน่าเสีย","สายโซ่คาร์บอน 3 ตัวมีหมู่กรดสอยอยู่ปลายโมเลกุลมีฤทธิ์กรดอ่อนๆ คอยยับยั้งแบคทีเรีย"
107,"กรดอินทรีย์คาร์บอกซิล: กรดบิวทิริก","C₄H₈O₂","C:4|H:8|O:2","กรดอินทรีย์กลิ่นเหม็นเปรี้ยวรุนแรงฉุนกึกเหมือนกลิ่นเหงื่อสะสมหรือเนยบูดค้างคืน","พบในเนยแท้ที่โดนจุลินทรีย์ย่อยสลายคายแก๊สเปรี้ยวกลิ่นเตะจมูกพ่อมดตาสว่าง","คาร์บอน 4 ตัวพ่วงหมู่คาร์บอกซิลละลายน้ำได้ปานกลางปล่อยโปรตอน H+ เปรี้ยวแรงเปรี้ยวจัด"
108,"กรดอินทรีย์คาร์บอกซิล: กรดวาเลริก","C₅H₁₀O₂","C:5|H:10|O:2","กรดเปรี้ยวสกัดแร่จากรากพืชป่าใช้ทำยาสงบจิตใจระงับประสาทให้หลับสบายฝันดีไร้ภัย","ช่วยปรับสมดุลธาตุลมในร่างกายคนไข้ให้ผ่อนคลายกล้ามเนื้อกระตุกตึงหายเป็นปลิดทิ้ง","คาร์บอน 5 ตัวพ่วงเดี่ยวจับออกซิเจน 2 และไฮโดรเจน 10 ตัวน้ำหนักโมเลกุลมากขยับลอยชั้นกลาง"
109,"กรดอินทรีย์คาร์บอกซิล: กรดเฮกซาโนอิก","C₆H₁₂O₂","C:6|H:12|O:2","กรดไขมันสายสั้นกลิ่นหญ้าแห้งแห้งอับพบบ่อยในมะพร้าวและผลปาล์มแก่จัดคาต้น","ใช้ปรุงปรับสมดุลทำเป็นน้ำยาขัดเงาเครื่องหนังไม้พลองเวทมนตร์ให้เงาวับสะท้อนแสงไฟ","คาร์บอน 6 ตัวเกาะกันแน่นพ่วงหมู่กรดคาร์บอกซิลไม่มีขั้วเด่นชัดละลายในไขมันเยี่ยมยอด"
110,"น้ำยาเจลแช่แผลไฮโดรเจนเปอร์ออกไซด์","H₂O₂","H:2|O:2","น้ำยาล้างแผลวิเศษแผลสดเวลาเหยาะหยดลงไปจะเดือดปุดพวยฟองสีขาวหนานุ่มหนาทึบ","ฟองขาวที่เห็นคือออกซิเจนบริจาคประจุลบทำลายเยื่อหุ้มแบคทีเรียและสลายตัวเป็นน้ำสะอาด","ออกซิเจนสองตัวแชร์อิเล็กตรอนกันเดี่ยวและพ่วงไฮโดรเจนประดับขอบไม่เสถียรคายแก๊สไวจัด"
111,"สารกลุ่มไฮดราซีนจุดบั้งไฟ","N₂H₄","N:2|H:4","สารละลายไฮดราซีนพลังขับดันสูงปรี๊ดที่นักวิทยาศาสตร์โบราณใช้ทำเชื้อเพลิงขับจรวดพุ่ง","ระวังให้ดีเพราะปฏิกิริยาเคมีรวดเร็วคายแก๊สคายความร้อนกระฉูดระเบิดตูมตามไฟลุกพรึ่บ","ไนโตรเจน 2 ตัวต่อพันธะเดี่ยวพ่วงไฮโดรเจน 4 แขนพลังงานเกาะเกี่ยวเบาพร้อมแตกสลายตัวไว"
112,"ปูนพลาสเตอร์สูตรกึ่งผลึกน้ำ","CaSO₄·H₂O","Ca:1|S:1|O:5|H:2","แร่ยิปซัมกึ่งแห้งที่มีโมเลกุลน้ำแทรกตัวเกาะโครงสร้างผลึกเกลือไอออนิก 1 สัดส่วน","ใช้ทำแป้งปัดฝุ่นลอกพิมพ์เขียนรูปทรงโบราณแห้งเร็วเนื้อแข็งพอกตัวทนฝนลมพัดได้ดี","แคลเซียมจับซัลเฟตและมีน้ำ 1 ตัวทำหน้าที่ประสานช่องว่างโครงผลึกช่วยตรึงแร่ให้คงที่"
113,"ผลึกเกลือโซเดียมซัลเฟตน้ำ 1","Na₂SO₄·H₂O","Na:2|S:1|O:5|H:2","เกลือโซเดียมซัลเฟตสูตรอุ้มน้ำความชื้น 1 โมเลกุลสำหรับการรักษาเสถียรแป้งซักฟอก","ช่วยลดคราบฝุ่นผงจับก้อนสีเทาทำให้แป้งร่วนแห้งจับลื่นล้างคราบสกปรกได้สม่ำเสมอดีเลิศ","โมเลกุลน้ำ 1 ตัวโอบล้อมประจุบวกของโซเดียมเหนี่ยวนำแรงดึงดูดไม่ให้ผลึกแห้งเปราะหักพัง"
114,"แร่วูลฟราไมต์ทังสเตนชื้น 1","FeWO₄·H₂O","Fe:1|W:1|O:5|H:2","แร่เหล็กทังสเตนสีเข้มที่มีโมเลกุลน้ำแทรกในรอยร้าวร่องแร่ 1 สัดส่วนช่วยชะลอการกร่อน","นิยมนำไปถลุงในเตาเผาแปรธาตุร้อนเพื่อแยกเอาโลหะทังสเตนบริสุทธิ์มาใช้ผลิตอาวุธแกร่ง","น้ำ 1 ตัวส่งแรงไฮโดรเจนดึงยึดออกไซด์รอบแกนทังสเตนทนทานแรงกดกระแทกเตาหลอมดีเยี่ยม"
115,"เกลือโพแทสเซียมคลอไรด์น้ำชื้น 1","KCl·H₂O","K:1|Cl:1|H:2|O:1","ผลึกเกลือโพแทสเซียมรสเค็มต่ำชื้นน้ำ 1 โมเลกุล ป้องกันการละลายตัวระเหยในตู้แห้ง","ช่วยคุมระดับประจุโพแทสเซียมไอออนไม่ให้หลุดพ้นโครงสร้างเมื่อเจอความร้อนห้อง","น้ำ 1 ตัวแทรกเกาะระหว่างไอออนบวก K+ และไอออนลบ Cl- ชะลอความเร็วการไหลกระแสไฟฟ้า"
116,"แก๊สคลอรีนฆ่าเชื้อชื้น 1","Cl₂·H₂O","Cl:2|H:2|O:1","แก๊สคลอรีนสองตัวเกาะไอน้ำชื้น 1 ส่วน จำลองปฏิกิริยาน้ำคลอรีนบำบัดสิ่งสกปรกในสระ","น้ำยาคลอรีนช่วยฟอกสีและทำลายเกราะหุ้มเซลล์ของไข่ราโรคพืชผักสลัดสะอาดล้างเกลี้ยง","คลอรีนแบ่งแชร์ประจุกระโดดเกาะโมเลกุลน้ำเกิดเป็นกรดไฮโปคลอรัสคายอนุภาคกัดกร่อนเชื้อ"
117,"แก๊สฮีเลียมสูตรประคองชื้น 1","He·H₂O","He:1|H:2|O:1","แก๊สเฉื่อยฮีเลียมที่มีไอความชื้นละอองน้ำล้อมรอบ 1 ส่วนชะลอการขยายลอยขึ้นสูง","ช่วยให้ลูกโป่งสวรรค์ลอยตัวระนาบคงที่ระยะกลางเพื่อตรวจสอบทิศทางลมป่าแปรธาตุ","ฮีเลียมอะตอมเดี่ยวเสรีโดนน้ำทำแรงดึงดูดแวนเดอร์วาลส์ดึงรั้งหน่วงน้ำหนักเบาไม่ให้ลอยพุ่ง"
118,"เกลือโพแทสเซียมไอโอไดด์ชื้น 1","KI·H₂O","K:1|I:1|H:2|O:1","ผลึกโพแทสเซียมไอโอไดด์ที่มีน้ำร่วมในตาข่ายผลึก 1 โมเลกุลชะลอการเปลี่ยนสีเหลือง","เกลือไอโอดีนที่ชื้นน้ำเล็กน้อยจะคงตัวได้ทนทานยาไม่หมดอายุเร็วเมื่อเก็บในลิ้นชักไม้","น้ำ 1 ตัวทำหน้าที่ล็อกประจุไอโอไดด์ลบไม่ให้ทำปฏิกิริยากับออกซิเจนในลมเป็นไอโอดีนอิสระ"
119,"กรดฟอสฟอริกชื้นน้ำ 1","H₃PO₄·H₂O","H:5|P:1|O:5","กรดฟอสฟอริกความชื้นน้ำ 1 โมเลกุลเพื่อใช้ในการล้างคราบตะกรันอ่างล้างจานดินเผา","ช่วยสลายคราบไขสบู่ฝังแน่นหนาตามขอบอ่างให้หลุดออกง่ายดายล้างน้ำสะอาดใสสะอาดกิ๊ก","น้ำ 1 ตัวละลายหน่วงแรงกรดไฮโดรเนียมทำปฏิกิริยากัดเนื้อผิวอ่างดินเผาให้ไม่ด่างเปราะพัง"
120,"เกลือลิเทียมคลอไรด์น้ำชื้น 1","LiCl·H₂O","Li:1|Cl:1|H:2|O:1","เกลือแร่ลิเทียมผลึกชื้นน้ำ 1 โมเลกุลช่วยรักษาเสถียรประจุไฟฟ้าระดับจิ๋วในหม้อแบต","ป้องกันไม่ให้เกิดความชื้นสะสมรุนแรงจนลัดวงจรไฟสปาร์คพังชำรุดในวงจรรถยนต์เวทมนตร์","ลิเทียมบวกส่งแรงดึงดูดโมเลกุลน้ำ 1 ตัวชะลอการเคลื่อนย้ายอิเล็กตรอนคงระดับไฟคงที่"
121,"แร่สังกะสีซัลไฟด์ชื้นน้ำ 1","ZnS·H₂O","Zn:1|S:1|H:2|O:1","แร่เรืองแสงสังกะสีซัลไฟด์ที่มีไอน้ำเกาะผิวแร่ 1 สัดส่วนช่วยประคองอุณหภูมิแผ่แสง","เมื่อตากแดดแร่อุ่นๆ จะค่อยคายไอน้ำและเรืองแสงสีเขียวพรายสว่างนุ่มนวลชวนมองในความมืด","น้ำ 1 ตัวเคลือบผิวแร่ลดการสูญเสียอนุภาคพลังงานข้ามระดับชั้นช่วยให้แสงพรายทนนานขึ้น"
122,"กรดน้ำส้มสายชูสูตรน้ำ 3","C₂H₄O₂·3H₂O","C:2|H:10|O:5","กรดน้ำส้มสายชูไตรไฮเดรตที่มีน้ำโอบอุ้มหนาแน่น 3 โมเลกุลสูตรทำน้ำสลัดเปรียวละมุน","ให้รสเปรี้ยวจางๆ ชวนลิ้นหอมหวานอ่อนๆ เหมาะกับเมนูอาหารสุขภาพพืชผักใบเขียวสะอาด","น้ำ 3 ตัวล้อมโอบรอบหมู่กรดคาร์บอกซิลช่วยหน่วงประจุไฮโดรเนียมไม่ให้แสบระคายปุ่มลิ้น"
123,"โซดาไฟขจัดท่อสูตรน้ำ 3","NaOH·3H₂O","Na:1|O:4|H:7","เบสแก่โซดาไฟเจือจางที่มีโมเลกุลน้ำดึงยึดลดปฏิกิริยาร้อนถึง 3 อัตราส่วน","ปลอดภัยขึ้นเมื่อใช้ขจัดตะกอนดินอุดตันทางระบายอ่างน้ำแก้วแปรธาตุไม่ให้กระจกแตกกร่อน","น้ำ 3 ตัวทำหน้าที่เป็นฟิล์มเหลวหุ้มกั้นประจุไฮดรอกไซด์ปล่อยปฏิกิริยากัดทีละนิดคงทน"
124,"แก๊สหัวเราะชื้นน้ำ 3","N₂O·3H₂O","N:2|O:4|H:6","แก๊สไนตรัสออกไซด์ไตรไฮเดรตใช้ชะลออัตราฉีดแก๊สในกระบอกวิปครีมของหวานให้เนื้อฟูนุ่ม","ช่วยวิปครีมเค้กเนื้อฟูอยู่ตัวยาวนานไม่ละลายน้ำเชื่อมยุบตัวพังทลายง่ายเมื่อตั้งโชว์ร้าน","น้ำ 3 ตัวประสานล้อมโมเลกุลไนตรัสออกไซด์ช่วยลดความดันระเหยสะสมทำให้ครีมฟูจับตัวหนา"
125,"เกลือแกงเหลวสูตรน้ำ 3","NaCl·3H₂O","Na:1|Cl:1|H:6|O:3","น้ำเกลือแร่ผลึกแช่แข็งไดไฮเดรตที่มีน้ำล้อมรอบ 3 โมเลกุลละลายบำบัดผิวพรรณดีเยี่ยม","ใช้ผสมอ่างแช่ตัวสปาเวทมนตร์โบราณช่วยผ่อนคลายกล้ามเนื้อตึงเมื่อยและระบายคราบไคลกิ๊ก","น้ำ 3 ตัวแยกร่างผลึกไอออนิกของเกลือล้อมประจุโซเดียมและคลอรีนส่งประจุเข้าถนอมผิวพรรณ"
126,"กรดเกลือสลายคราบชื้น 3","HCl·3H₂O","H:7|Cl:1|O:3","กรดไฮโดรคลอริกไตรไฮเดรตละลายเจือจางน้ำ 3 ส่วน ใช้ขจัดคราบหินปูนสะสมขอบแก้วยา","ล้างสะอาดใสวิบวับเหมือนใหม่ไม่กัดลายเขียนทองคำโบราณบนเครื่องมือแปรธาตุอันล้ำค่า","น้ำ 3 ตัวล้อมล้อมโปรตอน H+ ปล่อยเป็นไอออนไฮโดรเนียมทำลายเฉพาะหินปูนไม่กร่อนผิวทองคำ"
127,"แก๊สโอโซนสูตรเสถียรน้ำ 3","O₃·3H₂O","O:6|H:6","แก๊สโอโซนปกป้องโลกที่มีโมเลกุลน้ำเหนี่ยวนำรอบโมเลกุลถึง 3 อัตราส่วน","ใช้พ่นสเปรย์ฆ่าเชื้อราลึกบนผิวเปลือกไม้พลองและกระดาษตำราเก่าแก่ไม่ให้เนื้อผุกร่อนกระดาษขาด","น้ำ 3 ตัวเชื่อมโยงพันธะไฮโดรเจนล็อกสมมาตรโอโซนให้ไม่คืนตัวเร็วทำปฏิกิริยาได้นานทนนาน"
